update_time,state,jurisdiction,Pfizer_1,Pfizer_2,Pfizer_2_affected,Pfizer_3,Moderna_1,Moderna_2,December_doses
2020-12-19 05:13:08,Alabama,State,40950.0,26000.0,,,80000.0,,146950.0
2020-12-19 05:13:08,Alaska,State,35100.0,,,,26800.0,,61900.0
2020-12-19 05:13:08,American Samoa,Territory,5850.0,3900.0,,,25100.0,,
2020-12-19 05:13:08,Arizona,State,58500.0,41000.0,Yes,,,,383750.0
2020-12-19 05:13:08,Arkansas,State,25350.0,,,,50000.0,,100700.0
2020-12-19 05:13:08,Bureau of Federal Prisons,Federal Agency,,,,,,,
2020-12-19 05:13:08,California,State,327600.0,233000.0,Yes,,672000.0,,2160000.0
2020-12-19 05:13:08,Chicago,City,23400.0,,,,,,
2020-12-19 05:13:08,Colorado,State,46800.0,39780.0,Yes,,95600.0,,182180.0
2020-12-19 05:13:08,Connecticut,State,31200.0,86000.0,Yes,,20000.0,,168400.0
2020-12-19 05:13:08,Delaware,State,8775.0,,,,8350.0,,25900.0
2020-12-19 05:13:08,Department of Defense,Federal Agency,43875.0,,,,,,
2020-12-19 05:13:08,Department of State,Federal Agency,,,,,,,
2020-12-19 05:13:08,District of Columbia,City,6825.0,,,,,,13650.0
2020-12-19 05:13:08,Florida,State,179400.0,205000.0,Yes,,367000.0,,930800.0
2020-12-19 05:13:08,Georgia,State,84825.0,60000.0,Yes,,174000.0,,400000.0
2020-12-19 05:13:08,Guam,Territory,3900.0,3900.0,,3900.0,50000.0,,61700.0
2020-12-19 05:13:08,Hawaii,State,12675.0,,Yes,,36000.0,,80000.0
2020-12-19 05:13:08,Houston,City,,,,,,,
2020-12-19 05:13:08,Idaho,State,13650.0,9750.0,Yes,19500.0,28000.0,12400.0,96950.0
2020-12-19 05:13:08,Illinois,State,109000.0,,Yes,,,,109000.0
2020-12-19 05:13:08,Indian Health Services,Federal Agency,,,,,,,
2020-12-19 05:13:08,Indiana,State,55575.0,,Yes,,,,
2020-12-19 05:13:08,Iowa,State,26325.0,19500.0,Yes,38000.0,53800.0,24000.0,187950.0
2020-12-19 05:13:08,Kansas,State,24375.0,17550.0,Yes,,49000.0,,150000.0
2020-12-19 05:13:08,Kentucky,State,38025.0,27300.0,Yes,,76700.0,33800.0,114725.0
2020-12-19 05:13:08,Louisiana,State,39000.0,28275.0,Yes,,80000.0,27000.0,213275.0
2020-12-19 05:13:08,Maine,State,12675.0,8775.0,Yes,12675.0,14800.0,,48925.0
