update_time,state,jurisdiction,Pfizer_1,Pfizer_2,Pfizer_2_affected,Pfizer_3,Moderna_1,Moderna_2,December_doses
2020-12-18 14:39:55,Alabama,State,40950.0,26000.0,,,80000.0,,146950.0
2020-12-18 14:39:55,Alaska,State,35100.0,,,,26800.0,,61900.0
2020-12-18 14:39:55,American Samoa,Territory,5850.0,3900.0,,,25100.0,,
2020-12-18 14:39:55,Arizona,State,58500.0,,,,,,383750.0
2020-12-18 14:39:55,Arkansas,State,25350.0,,,,50000.0,,100700.0
2020-12-18 14:39:55,Bureau of Federal Prisons,Federal Agency,,,,,,,
2020-12-18 14:39:55,California,State,327600.0,233000.0,Yes,,672000.0,,2160000.0
2020-12-18 14:39:55,Chicago,City,23400.0,,,,,,
2020-12-18 14:39:55,Colorado,State,46800.0,39780.0,Yes,,95600.0,,182180.0
2020-12-18 14:39:55,Connecticut,State,31200.0,86000.0,Yes,,20000.0,,168400.0
2020-12-18 14:39:55,Delaware,State,8775.0,,,,8350.0,,25900.0
2020-12-18 14:39:55,Department of Defense,Federal Agency,43875.0,,,,,,
2020-12-18 14:39:55,Department of State,Federal Agency,,,,,,,
2020-12-18 14:39:55,District of Columbia,City,6825.0,,,,,,13650.0
2020-12-18 14:39:55,Florida,State,179400.0,205000.0,Yes,,367000.0,,930800.0
2020-12-18 14:39:55,Georgia,State,84825.0,60000.0,Yes,,,,400000.0
2020-12-18 14:39:55,Guam,Territory,3900.0,3900.0,,3900.0,50000.0,,61700.0
2020-12-18 14:39:55,Hawaii,State,12675.0,,Yes,,36000.0,,80000.0
2020-12-18 14:39:55,Houston,City,,,,,,,
2020-12-18 14:39:55,Idaho,State,13650.0,9750.0,Yes,19500.0,28000.0,12400.0,96950.0
2020-12-18 14:39:55,Illinois,State,109000.0,,Yes,,,,109000.0
2020-12-18 14:39:55,Indian Health Services,Federal Agency,,,,,,,
2020-12-18 14:39:55,Indiana,State,55575.0,,Yes,,,,
2020-12-18 14:39:55,Iowa,State,26325.0,19500.0,Yes,38000.0,53800.0,24000.0,187950.0
2020-12-18 14:39:55,Kansas,State,24375.0,17550.0,Yes,,49000.0,,150000.0
2020-12-18 14:39:55,Kentucky,State,38025.0,110500.0,,,76700.0,,114725.0
2020-12-18 14:39:55,Louisiana,State,39000.0,,,,80000.0,27000.0,185000.0
2020-12-18 14:39:55,Maine,State,12675.0,8775.0,Yes,12675.0,14800.0,,48925.0
2020-12-18 14:39:55,Marshall Islands,Territory,,,,,,,
2020-12-18 14:39:55,Maryland,State,50700.0,,,,104300.0,,155000.0
2020-12-18 14:39:55,Massachusetts,State,59475.0,,,,120000.0,,300000.0
2020-12-18 14:39:55,Michigan,State,84825.0,60000.0,Yes,,173600.0,,650000.0
2020-12-18 14:39:55,Micronesia,Territory,,,,,,,
2020-12-18 14:39:55,Minnesota,State,46800.0,,,,100000.0,,183400.0
